lang_code,lang_name,script,tokenizer,tokenizer_name,total_sentences,total_tokens,total_words,total_graphemes,total_bytes,total_chars,agg_tok_per_word,agg_tok_per_grapheme,agg_tok_per_byte,agg_tok_per_char,agg_tok_per_sentence,mean_tok_per_word,mean_tok_per_grapheme,mean_tok_per_byte,mean_tok_per_char,p50_tok_per_word,p50_tok_per_grapheme,p50_tok_per_byte,p50_tok_per_char,p90_tok_per_word,p90_tok_per_grapheme,p90_tok_per_byte,p90_tok_per_char,std_tok_per_word,std_tok_per_grapheme,std_tok_per_byte,std_tok_per_char,rel_agg_tok_per_word,rel_agg_tok_per_grapheme,rel_agg_tok_per_byte,rel_agg_tok_per_char,rel_agg_tok_per_sentence
eng_Latn,English,Latin,gpt2,GPT-2 (tiktoken),1012,27044,21901,131966,132096,131966,1.2348294598420164,0.2049315732840277,0.2047298934108527,0.2049315732840277,26.723320158102766,1.2444278318059756,0.20700197182994035,0.20680162204514005,0.20700197182994035,1.206896551724138,0.20280062671367022,0.20270270270270271,0.20280062671367022,1.4612179487179486,0.24237536656891495,0.24192494201981868,0.24237536656891495,0.16932171364599416,0.02893204608591542,0.028764424644758056,0.02893204608591542,1.0,1.0,1.0,1.0,1.0
eng_Latn,English,Latin,muril,MuRIL (google/muril-base-cased),1012,27581,21901,131966,132096,131966,1.259348888178622,0.20900080323719747,0.20879511870155038,0.20900080323719747,27.25395256916996,1.2689251399925585,0.21096959428415524,0.2107744538028485,0.21096959428415524,1.2272727272727273,0.20678160919540228,0.20661971830985915,0.20678160919540228,1.5,0.24985875706214686,0.24985875706214686,0.24985875706214686,0.17601273084849967,0.029542504856325893,0.029448013721482313,0.029542504856325893,1.0,1.0,1.0,1.0,1.0
hin_Deva,Hindi,Devanagari,gpt2,GPT-2 (tiktoken),1012,200483,25643,85978,337094,131079,7.818234995905315,2.331794179906488,0.594739152877239,1.529482220645565,198.10573122529644,7.8584336182105545,2.3374847576981352,0.5947509272913083,1.528794084437571,7.794494720965309,2.341042780748663,0.5953155001981083,1.5350597832160018,9.031357839459865,2.5995419847328245,0.6076923076923076,1.5909090909090908,0.9446126150768064,0.20542089226727772,0.010742803992517331,0.05590624696278174,6.331428954493503,11.378403740036221,2.9049941997660023,7.463380074312699,7.413215500665582
hin_Deva,Hindi,Devanagari,muril,MuRIL (google/muril-base-cased),1012,31981,25643,85978,337094,131079,1.2471629684514292,0.37196724743539045,0.09487264679881575,0.2439826364253618,31.60177865612648,1.2566614729733028,0.37425873213200234,0.09591896467635909,0.24591575663671517,1.2222222222222223,0.3693979933110368,0.09428571428571429,0.24282814985464318,1.4685416666666666,0.4258620689655172,0.11270454545454546,0.2840909090909091,0.1607839962268835,0.04075963647248755,0.013224547054725075,0.029656467684634456,0.9903236348230576,1.7797407554134634,0.454381536258162,1.1673765490195893,1.1595301113085095
kan_Knda,Kannada,Kannada,gpt2,GPT-2 (tiktoken),1012,367504,16100,90471,375480,138140,22.82633540372671,4.062119353162892,0.9787578566102056,2.6603735340958448,363.14624505928856,23.026660650965525,4.062497003702468,0.9785833694501754,2.658543156312806,23.11521739130435,4.089699381078692,0.980145590244928,2.6822617419060646,26.875,4.338662239089184,0.9895833333333334,2.735258681785967,3.1438490541922905,0.25585981815061964,0.010043849948128469,0.08982835840668087,18.485415311234235,19.821832663788427,4.780727622643903,12.98176504217173,13.589114036385151
kan_Knda,Kannada,Kannada,muril,MuRIL (google/muril-base-cased),1012,29405,16100,90471,375480,138140,1.8263975155279504,0.32502127753644816,0.07831309257483754,0.21286376140147675,29.056324110671937,1.8439689292077721,0.3270145480493272,0.079101908447527,0.21430827165175348,1.8095238095238095,0.3231546231546232,0.07834101382488479,0.21263297872340425,2.25,0.40343567251461987,0.0985383481356298,0.2625,0.3371465289627387,0.054332343644723335,0.014287081779638531,0.03551963796388957,1.450271273252516,1.5551197531407461,0.37507147227314963,1.0184829823830637,1.066132482506073
tam_Taml,Tamil,Tamil,gpt2,GPT-2 (tiktoken),1012,420177,16775,99724,421641,154133,25.04780923994039,4.213398981188079,0.9965278518929611,2.7260677466863035,415.19466403162056,25.251080449677758,4.2145730832596335,0.9961231943171593,2.723771045235885,25.28333333333333,4.255777777777778,1.0,2.7515566384344665,29.5,4.477436151748078,1.0,2.79436503573392,3.3912601000762135,0.2567931571715917,0.009183365071348192,0.09416265270465086,20.28442797529709,20.56002847032488,4.867524889944261,13.30233161733489,15.536791894690136
tam_Taml,Tamil,Tamil,muril,MuRIL (google/muril-base-cased),1012,29208,16775,99724,421641,154133,1.7411624441132638,0.29288837190646183,0.06927220075846514,0.18949867971167758,28.861660079051383,1.751111056866116,0.2934714861695273,0.06973371220428343,0.1900697397959005,1.7272727272727273,0.29080338266384775,0.0687730343980344,0.18900038409832917,2.1333333333333333,0.35063596197616814,0.08480834108887855,0.22727272727272727,0.30764457007600804,0.04456424130618481,0.0122545488372263,0.029897051878561554,1.3825894162113264,1.401374384069038,0.33177116969617537,0.9066887628016114,1.0589898843406693
tel_Telu,Telugu,Telugu,gpt2,GPT-2 (tiktoken),1012,350797,16938,76602,353711,132505,20.71065060810013,4.579475731704133,0.9917616359118037,2.6474246254858307,346.6373517786561,20.827096498513317,4.602076097376276,0.9906899355695775,2.643888239382942,20.795833333333334,4.668154761904762,1.0,2.6945128626163113,24.6,5.156984964651996,1.0,2.754085349986989,2.9078287500075386,0.5290954399137667,0.020415401712218426,0.1581057867052413,16.772073619582937,22.346364975967596,4.84424438165233,12.918578543368701,12.971342996598137
tel_Telu,Telugu,Telugu,muril,MuRIL (google/muril-base-cased),1012,33183,16938,76602,353711,132505,1.959086078639745,0.43318712305161744,0.09381387630014333,0.250428285725067,32.7895256916996,1.9780991359819506,0.436292011158868,0.09484104596215191,0.25183887579756936,1.9375,0.4322162162162162,0.09303414985233166,0.24802709252470018,2.4428571428571426,0.5321968150265414,0.11566910346228043,0.3030025020850709,0.3901360897032729,0.07455140514981613,0.017871235247701574,0.04187558356846331,1.5556341034875116,2.072657694812724,0.4493106777761406,1.1982168577641923,1.2031108371705157
mal_Mlym,Malayalam,Malayalam,gpt2,GPT-2 (tiktoken),1012,409995,14930,79428,411753,149336,27.46115204286671,5.161844689530141,0.9957304500513657,2.7454532061927464,405.1333992094862,27.68942176851996,5.17602406523432,0.9954441612076907,2.7429676344828278,27.5,5.189736842105264,1.0,2.767559314070942,33.0,5.716035353535353,1.0,2.813780252730777,4.243318560969785,0.4667861457066176,0.007792314077850973,0.08564792452590493,22.238821583006352,25.18813771256229,4.863629992973865,13.396926409127051,15.160294335157522
mal_Mlym,Malayalam,Malayalam,muril,MuRIL (google/muril-base-cased),1012,32663,14930,79428,411753,149336,2.187742799732083,0.41122777861711235,0.07932668371572278,0.21872154068677346,32.27569169960474,2.2141097313843203,0.4141860539547505,0.0802027429834451,0.22046604809483208,2.1666666666666665,0.4100462379150904,0.0784313725490196,0.21739130434782608,2.7929597701149427,0.5,0.09899591654080662,0.2691984486102133,0.4483217250881257,0.0659315290310162,0.014300168820695439,0.0363300524329188,1.7372015176002447,1.9675894649572476,0.3799259494620252,1.0465105267492385,1.1842572785613283
